"","target","var","coeff_var"
"1","Amyloid",0.110283654850594,0.383449783588141
"2","Aortic.dilation",0.0767970772930935,0.334341161670646
"3","Arrhythmogenic.right.ventricular.cardiomyopathy",0.0481467982930502,0.24389722699542
"4","Atrial.Myxoma",0.0378220282413715,0.34128373257505
"5","Atrial.Septal.Defect",0.0274129568429974,0.254671030240748
"6","Bicuspid.Valve",0.0936399714713648,0.395548216921676
"7","Cardiac.Thrombus",0.0689002030927422,0.31029312805555
"8","Cardiac.Tumor",0.0595830192378046,0.300175833889906
"9","Delayed.enhancement",0.0244926911550248,0.200950010752618
"10","Dilated.Cardiomyopathy",0.0564913698166355,0.326566771395653
"11","Hypertrophic.Cardiomyopathy",0.0656631342820349,0.401281572193482
"12","Ischemic.Cardiomyopathy",0.0270388825605952,0.28702248705641
"13","LV.Non.Compaction",0.0463496878115479,0.292814086840465
"14","Large.Pericardial.Effusion",0.0568466734356918,0.370590991434981
"15","Left.Atrial.Dilation",0.0258538291943075,0.188352298415653
"16","Left.Ventricular.Dilation",0.0363648552334148,0.274255460418976
"17","Left.Ventricular.Hypertrophy",0.0621966106365018,0.332265087267639
"18","Lipomatous.Atrial.Wall",0.0811932537353427,0.405025673126942
"19","Myocardial.Infarct",0.0281370569976309,0.345930616834311
"20","Myocarditis",0.0161074730576091,0.186079394624246
"21","Non.Ischemic.cardiomyopathy",0.0478745423344742,0.232792724055153
"22","Other.Cardiac.Mass",0.0430739028520505,0.308152620253182
"23","Pericarditis",0.0320400243468671,0.31063877997814
"24","Previous.Surgery",0.0573689075789232,0.259765461512934
"25","Prosthetic.Valve",0.0821289210437151,0.350688880646009
"26","Pulmonary.Dilation",0.0421616045812697,0.287206951875252
"27","Pulmonary.Hypertension",0.0516909151205597,0.282108685732206
"28","Pulmonary.Stenosis",0.0466156036011445,0.355783537063548
"29","PureNormal",0.0424469130928591,0.336417079857468
"30","Right.Atrial.Dilation",0.0211723078002713,0.209867242816957
"31","Right.Ventricular.Dilation",0.040207556548586,0.256680043458238
"32","Right.Ventricular.Hypertrophy",0.0251520924708378,0.222771943897591
"33","Sarcoidosis",0.0593017422188106,0.278405985885513
"34","Severe.Aortic.Stenosis",0.0442298037738144,0.323706267399114
"35","Severe.Mitral.Regurgitation",0.0395293168553289,0.309527687856204
"36","Systolic.Anterior.Motion.of.Mitral",0.076267469345656,0.342143427357951
"37","Tetralogy",0.0500364042383056,0.374186069474211
"38","Ventricular.Septal.Defect",0.0513083069659381,0.353087344964852
"39","Viable.Myocardium",0.0478790752958306,0.220728865722401
